customer_id,signup_date,last_purchase_date,age_group,gender,province,acquisition_channel,num_purchases,avg_order_value_zar,total_clv_zar,customer_segment,churned,email_opt_in
CUST00034,2021-05-08,2021-12-05,25-34,Female,Limpopo,Email,4,820.86,3283.43,Lapsed,1,1
CUST00035,2020-06-11,2020-12-31,35-44,Other,Western Cape,Google Search,1,1284.43,1284.43,Lapsed,0,1
CUST00036,2022-10-17,2024-07-23,45-54,Male,Western Cape,Google Search,6,890.66,5343.93,Lapsed,1,1
CUST00037,2020-03-30,2020-08-11,25-34,Male,Gauteng,Google Search,4,715.67,2862.66,Lapsed,1,0
CUST00038,2022-08-05,2022-12-26,25-34,Female,Gauteng,Google Search,1,638.87,638.87,Lapsed,0,1
CUST00039,2022-09-27,2024-03-10,35-44,Female,KwaZulu-Natal,Meta Facebook,1,817.96,817.96,Lapsed,1,0
CUST00040,2020-02-09,2021-10-25,45-54,Female,Gauteng,Email,9,895.55,8059.92,Lapsed,1,1
CUST00041,2020-12-08,2021-08-30,35-44,Female,Gauteng,Organic,6,1140.11,6840.64,Lapsed,1,1
CUST00042,2021-03-27,2021-06-17,18-24,Female,Eastern Cape,Google Search,12,875.54,10506.54,Lapsed,1,1
CUST00043,2020-12-27,2021-06-06,35-44,Female,Western Cape,Google Search,5,956.44,4782.2,Lapsed,0,1
CUST00044,2021-07-20,2023-04-12,35-44,Female,Gauteng,Meta Instagram,4,867.61,3470.43,Lapsed,0,0
CUST00045,2022-09-02,2024-03-05,45-54,Male,Eastern Cape,Organic,1,1012.38,1012.38,Lapsed,1,1
CUST00046,2020-05-27,2021-10-05,35-44,Male,Gauteng,Meta Instagram,4,522.14,2088.57,Lapsed,1,1
CUST00047,2021-06-23,2022-08-18,25-34,Female,Gauteng,Email,11,745.47,8200.18,Lapsed,1,1
CUST00048,2021-12-12,2022-12-29,25-34,Male,Gauteng,Meta Facebook,7,1067.42,7471.91,Lapsed,0,1
CUST00049,2021-05-13,2023-02-19,25-34,Female,Gauteng,Email,4,594.61,2378.43,Lapsed,1,1
CUST00050,2020-08-14,2021-04-20,25-34,Female,Western Cape,Google Search,1,456.86,456.86,Lapsed,1,1
CUST00051,2020-06-03,2021-05-07,45-54,Male,Gauteng,Google Search,1,1499.56,1499.56,Lapsed,1,1
CUST00052,2022-08-12,2023-06-27,35-44,Female,Limpopo,Meta Facebook,1,673.48,673.48,Lapsed,0,0
CUST00053,2021-11-16,2023-04-11,25-34,Female,KwaZulu-Natal,Meta Instagram,7,1474.6,10322.23,Lapsed,1,1
CUST00054,2020-10-13,2021-07-24,45-54,Male,KwaZulu-Natal,Organic,2,620.92,1241.85,Lapsed,1,1
CUST00055,2021-08-09,2023-01-11,unknown,Male,Gauteng,Google Display,5,629.89,3149.45,Lapsed,1,1
CUST00056,2021-08-02,2023-02-03,55+,Male,Gauteng,Email,1,547.28,547.28,Lapsed,1,1
CUST00057,2022-08-21,2023-07-02,25-34,Male,KwaZulu-Natal,Email,5,859.22,4296.11,Lapsed,1,1
CUST00058,2020-10-06,2022-01-18,25-34,Female,Western Cape,Meta Instagram,4,680.4,2721.59,Lapsed,1,1
CUST00059,2022-02-28,2022-03-31,18-24,Female,Gauteng,Meta Facebook,3,919.75,2759.26,Lapsed,0,1
CUST00060,2020-07-02,2022-05-10,45-54,Male,Gauteng,Google Search,4,1009.57,4038.3,Lapsed,1,0
CUST00061,2020-11-16,2022-06-05,18-24,Male,Gauteng,Meta Facebook,3,358.04,1074.13,Lapsed,1,1
CUST00062,2021-12-20,2022-05-09,35-44,Male,Gauteng,Meta Facebook,3,849.72,2549.17,Lapsed,1,0
CUST00063,2022-02-16,2022-05-20,25-34,Male,Gauteng,Meta Facebook,2,774.5,1549.0,Lapsed,1,1
CUST00064,2020-10-30,2022-08-30,55+,Female,Gauteng,Google Search,7,1072.04,7504.29,Lapsed,1,0
CUST00065,2020-03-18,2021-08-02,25-34,Male,KwaZulu-Natal,Meta Instagram,4,1075.37,4301.46,Lapsed,1,1
CUST00066,2022-08-10,2023-12-07,35-44,Male,KwaZulu-Natal,Meta Facebook,2,742.34,1484.68,Lapsed,0,1
CUST00067,2022-05-25,2023-07-30,45-54,Female,Gauteng,Google Display,9,974.13,8767.14,Lapsed,1,0
CUST00068,2020-10-11,2021-02-17,25-34,Male,KwaZulu-Natal,Meta Instagram,2,772.14,1544.28,Lapsed,0,0
CUST00069,2020-09-01,2021-03-03,25-34,Female,Gauteng,Email,2,1098.44,2196.88,Lapsed,1,0
CUST00070,2022-07-08,2024-05-14,25-34,Male,KwaZulu-Natal,Organic,8,965.01,7720.11,Lapsed,1,1
CUST00071,2020-03-04,2021-07-12,18-24,Male,KwaZulu-Natal,Meta Facebook,1,564.09,564.09,Lapsed,1,0
CUST00072,2021-09-07,2023-06-24,25-34,Female,Gauteng,Meta Facebook,1,789.08,789.08,Lapsed,1,1
CUST00073,2022-06-27,2022-09-25,35-44,Female,Gauteng,Google Search,4,1222.88,4891.52,Lapsed,1,0
CUST00074,2022-06-27,2023-07-02,45-54,Male,KwaZulu-Natal,Google Search,1,1040.58,1040.58,Lapsed,1,1
CUST00075,2020-07-14,2021-12-15,45-54,Female,Gauteng,Meta Facebook,3,565.51,1696.52,Lapsed,1,0
CUST00076,2021-06-19,2021-08-28,18-24,Male,Eastern Cape,Organic,6,750.33,4502.0,Lapsed,1,0
CUST00077,2022-05-27,2024-04-05,18-24,Male,Gauteng,Google Display,8,796.79,6374.33,Lapsed,1,0
CUST00078,2022-11-13,2023-01-28,25-34,Female,Gauteng,Google Display,2,718.04,1436.08,Lapsed,1,1
CUST00079,2021-04-13,2023-02-06,45-54,Male,Eastern Cape,Email,1,254.76,254.76,Lapsed,1,1
CUST00080,2021-11-23,2022-03-05,25-34,Female,Gauteng,Meta Facebook,6,917.84,5507.05,Lapsed,1,0
CUST00081,2021-11-24,2022-06-01,35-44,Female,Gauteng,Meta Instagram,2,653.26,1306.52,Lapsed,1,0
CUST00082,2022-04-09,2023-08-10,25-34,Male,Western Cape,Google Search,8,632.49,5059.94,Lapsed,1,1
CUST00083,2020-09-17,2022-01-26,18-24,Female,Gauteng,Google Search,8,957.78,7662.24,Lapsed,1,1
CUST00084,2022-11-07,2023-01-11,25-34,Female,Western Cape,Google Search,2,1051.46,2102.92,Lapsed,1,1
CUST00085,2020-03-05,2020-03-29,25-34,Female,Western Cape,Meta Instagram,3,419.61,1258.84,Lapsed,0,1
CUST00086,2020-09-21,2022-01-23,45-54,Female,Gauteng,Meta Instagram,3,1098.68,3296.04,Lapsed,1,1
CUST00087,2021-12-31,2022-03-01,55+,Male,KwaZulu-Natal,Email,1,1020.65,1020.65,Lapsed,0,0
CUST00088,2022-02-23,2023-10-17,unknown,Female,Gauteng,Meta Facebook,1,867.46,867.46,Lapsed,1,0
CUST00089,2020-08-31,2021-09-08,unknown,Female,Western Cape,Meta Instagram,2,1519.66,3039.32,Lapsed,0,0
CUST00090,2020-03-24,2021-07-01,25-34,Female,Limpopo,Meta Instagram,1,908.75,908.75,Lapsed,1,1
CUST00091,2020-01-21,2020-05-04,25-34,Female,KwaZulu-Natal,Email,8,150.0,1200.0,Lapsed,1,0
CUST00092,2020-04-28,2021-02-16,55+,Male,Gauteng,Meta Facebook,1,854.82,854.82,Lapsed,1,1
CUST00093,2022-12-16,2024-01-09,35-44,Female,unknown,Meta Facebook,13,1593.07,20709.89,High Value,1,1
CUST00094,2022-11-13,2023-05-13,45-54,Male,Western Cape,Meta Facebook,1,701.78,701.78,Lapsed,1,1
CUST00095,2022-04-28,2023-09-26,25-34,Female,Gauteng,Google Search,8,973.39,7787.1,Lapsed,1,1
CUST00096,2022-10-17,2023-02-05,55+,Male,Western Cape,Organic,13,919.92,11958.93,Lapsed,0,1
CUST00097,2022-07-18,2024-05-25,25-34,Male,Gauteng,Organic,7,491.28,3438.98,Lapsed,1,1
CUST00098,2020-10-28,2022-09-15,18-24,Female,KwaZulu-Natal,Google Search,2,999.2,1998.41,Lapsed,1,1
CUST00099,2021-08-13,2021-10-25,18-24,Male,Gauteng,Meta Facebook,7,994.49,6961.45,Lapsed,0,1
CUST00100,2020-08-06,2020-10-25,25-34,Male,KwaZulu-Natal,Meta Instagram,5,589.14,2945.7,Lapsed,0,1
CUST00101,2022-10-24,2024-05-10,45-54,Female,Gauteng,Google Search,4,663.11,2652.42,Lapsed,0,1
CUST00102,2022-11-18,2024-02-20,unknown,Female,Western Cape,Google Search,3,1037.88,3113.64,Lapsed,1,1
CUST00103,2020-12-14,2022-11-07,35-44,Male,Western Cape,Organic,5,1206.87,6034.33,Lapsed,1,1
CUST00104,2022-01-08,2023-11-26,55+,Male,Gauteng,Meta Facebook,3,1073.6,3220.8,Lapsed,1,1
CUST00105,2021-04-26,2022-11-30,45-54,Female,Gauteng,Organic,5,854.64,4273.22,Lapsed,0,0
CUST00106,2021-11-26,2023-01-06,25-34,Male,Western Cape,Meta Facebook,1,673.1,673.1,Lapsed,0,0
CUST00107,2021-11-23,2022-03-10,35-44,Male,Gauteng,Meta Facebook,3,1709.76,5129.27,Lapsed,1,1
CUST00108,2020-12-26,2022-09-22,35-44,Male,Gauteng,Meta Facebook,9,1277.16,11494.41,High Value,1,1
CUST00109,2022-09-26,2023-02-06,35-44,Female,Eastern Cape,Email,15,713.62,10704.31,Lapsed,1,1
CUST00110,2022-12-30,2023-01-03,55+,Male,Gauteng,Meta Instagram,12,1094.77,13137.21,High Value,1,1
CUST00111,2021-11-03,2023-05-05,45-54,Female,Gauteng,Google Display,1,901.46,901.46,Lapsed,1,1
CUST00112,2020-03-10,2022-02-07,18-24,Male,Gauteng,Meta Facebook,1,1012.2,1012.2,Lapsed,1,1
CUST00113,2022-01-18,2022-12-17,45-54,Male,Gauteng,Organic,11,1060.73,11667.98,High Value,1,1
CUST00114,2022-06-29,2022-07-18,25-34,Female,Eastern Cape,Email,5,1727.4,8636.99,Lapsed,1,0
CUST00115,2020-12-26,2021-03-01,45-54,Male,KwaZulu-Natal,Email,7,709.93,4969.5,Lapsed,1,1
CUST00116,2020-01-12,2020-02-26,25-34,Female,KwaZulu-Natal,Google Search,1,799.64,799.64,Lapsed,0,1
CUST00117,2020-08-19,2021-02-04,35-44,Female,Eastern Cape,Email,1,870.42,870.42,Lapsed,1,1
CUST00118,2022-01-19,2023-10-28,55+,Female,Gauteng,Google Search,3,659.14,1977.41,Lapsed,0,0
CUST00119,2021-02-14,2022-04-08,45-54,Male,Eastern Cape,Email,2,706.92,1413.84,Lapsed,1,0
CUST00120,2022-06-07,2024-04-28,35-44,Female,Gauteng,Google Display,2,907.51,1815.01,Lapsed,1,0
CUST00121,2022-08-31,2023-06-29,25-34,Male,Western Cape,Organic,9,846.23,7616.09,Lapsed,1,1
CUST00122,2022-05-03,2022-11-29,18-24,Female,KwaZulu-Natal,Meta Instagram,2,864.91,1729.82,Lapsed,0,1
CUST00123,2021-09-18,2023-06-02,45-54,Female,KwaZulu-Natal,Meta Facebook,14,494.23,6919.28,Lapsed,1,1
CUST00124,2022-01-23,2022-05-26,18-24,Female,Limpopo,Email,1,770.66,770.66,Lapsed,0,1
CUST00125,2022-06-21,2023-05-27,45-54,Female,Gauteng,Meta Instagram,9,881.4,7932.58,Lapsed,0,1
CUST00126,2021-01-05,2022-03-23,45-54,Male,Western Cape,Organic,1,777.91,777.91,Lapsed,1,0
CUST00127,2021-03-10,2022-03-02,18-24,Male,Gauteng,Organic,5,723.61,3618.03,Lapsed,0,0
CUST00128,2020-05-07,2020-06-26,55+,Female,Gauteng,Google Search,1,756.85,756.85,Lapsed,1,0
CUST00129,2021-11-24,2023-04-30,55+,Female,Eastern Cape,Meta Facebook,4,1000.69,4002.75,Lapsed,1,1
CUST00130,2022-04-12,2023-08-18,25-34,Female,Gauteng,Meta Facebook,3,432.53,1297.59,Lapsed,1,0
CUST00131,2020-05-08,2020-07-05,35-44,Female,Western Cape,Meta Instagram,7,1246.09,8722.61,Lapsed,1,1
CUST00132,2022-10-05,2024-01-14,18-24,Male,Gauteng,Google Search,6,766.57,4599.42,Lapsed,1,1
CUST00133,2020-05-11,2021-12-29,35-44,Male,Gauteng,Meta Facebook,5,1109.83,5549.16,Lapsed,0,0
CUST00134,2022-09-13,2024-01-29,25-34,Male,Western Cape,Google Search,5,595.06,2975.31,Lapsed,1,1
CUST00135,2020-06-18,2021-11-09,45-54,Female,Gauteng,Google Search,1,923.09,923.09,Lapsed,1,1
CUST00136,2022-06-20,2023-05-01,35-44,Female,Western Cape,Meta Facebook,1,384.94,384.94,Lapsed,1,1
CUST00137,2021-06-06,2023-04-21,unknown,Male,KwaZulu-Natal,Google Search,2,606.25,1212.51,Lapsed,1,0
CUST00138,2021-02-25,2022-07-24,55+,Male,KwaZulu-Natal,Google Display,11,1039.02,11429.18,High Value,1,1
CUST00139,2020-01-11,2020-12-03,35-44,Female,Gauteng,Google Search,9,883.88,7954.92,Lapsed,1,1
CUST00140,2022-03-31,2023-01-29,45-54,Male,KwaZulu-Natal,Meta Facebook,5,1058.56,5292.81,Lapsed,1,1
CUST00141,2022-01-03,2022-12-18,55+,Male,Gauteng,Organic,1,931.67,931.67,Lapsed,0,1
CUST00142,2021-10-31,2021-11-08,25-34,Male,Limpopo,Meta Instagram,11,475.22,5227.42,Lapsed,0,1
CUST00143,2021-10-20,2022-02-07,18-24,Male,Gauteng,Meta Facebook,3,1110.97,3332.92,Lapsed,1,1
CUST00144,2020-05-14,2021-08-24,18-24,Female,Western Cape,Google Search,1,832.83,832.83,Lapsed,1,0
CUST00145,2022-10-09,2022-11-25,18-24,Female,Gauteng,Meta Facebook,5,737.69,3688.45,Lapsed,0,0
CUST00146,2021-11-02,2023-01-28,35-44,Female,Western Cape,Email,6,829.86,4979.14,Lapsed,1,1
CUST00147,2022-11-07,2024-08-30,55+,Male,Gauteng,Meta Facebook,4,969.28,3877.1,Lapsed,1,0
CUST00148,2020-12-17,2022-10-07,18-24,Male,Eastern Cape,Google Search,11,729.09,8020.01,Lapsed,1,1
CUST00149,2022-08-31,2023-08-02,25-34,Female,Eastern Cape,Google Display,15,934.35,14015.21,Lapsed,1,0
CUST00150,2022-12-28,2024-08-09,18-24,Male,Gauteng,Email,1,640.84,640.84,Lapsed,1,1
CUST00151,2020-04-08,2020-11-08,45-54,Male,Gauteng,Email,7,736.74,5157.18,Lapsed,1,0
CUST00152,2022-06-03,2023-03-29,18-24,Female,Gauteng,Meta Facebook,7,1246.74,8727.18,Lapsed,1,0
CUST00153,2022-12-09,2024-10-20,35-44,Female,Gauteng,Meta Instagram,3,1191.43,3574.28,Lapsed,1,0
CUST00154,2022-05-05,2024-01-21,25-34,Male,Limpopo,Email,3,376.31,1128.92,Lapsed,0,1
CUST00155,2021-01-06,2021-11-19,25-34,Female,KwaZulu-Natal,Organic,7,816.7,5716.87,Lapsed,1,1
CUST00156,2021-02-22,2022-12-24,35-44,Female,Gauteng,Organic,6,727.57,4365.41,Lapsed,1,1
CUST00157,2021-03-16,2022-04-13,35-44,Female,Gauteng,Google Search,1,606.45,606.45,Lapsed,1,1
CUST00158,2022-06-12,2023-11-25,18-24,Male,Gauteng,Meta Facebook,1,348.95,348.95,Lapsed,1,1
CUST00159,2021-03-04,2021-08-05,18-24,Female,Gauteng,Email,12,862.14,10345.65,Lapsed,0,1
CUST00160,2020-05-09,2021-08-08,45-54,Other,Gauteng,Organic,2,697.7,1395.4,Lapsed,1,1
CUST00161,2022-09-04,2023-12-02,18-24,Other,Gauteng,Google Search,3,852.14,2556.43,Lapsed,1,0
CUST00162,2021-10-19,2022-12-08,35-44,Female,Eastern Cape,Google Search,2,669.75,1339.51,Lapsed,1,1
CUST00163,2020-05-17,2021-05-23,25-34,Male,KwaZulu-Natal,Google Search,1,574.85,574.85,Lapsed,1,1
CUST00164,2022-02-08,2022-11-02,18-24,Female,KwaZulu-Natal,Meta Instagram,7,654.11,4578.8,Lapsed,0,0
CUST00165,2022-04-26,2023-04-14,18-24,Male,KwaZulu-Natal,Organic,9,841.71,7575.37,Lapsed,0,1
CUST00166,2021-06-22,2021-10-02,45-54,Male,Limpopo,Meta Facebook,8,658.73,5269.82,Lapsed,1,1
CUST00167,2022-12-16,2024-05-21,45-54,Male,Eastern Cape,Meta Instagram,2,279.87,559.74,Lapsed,1,1
CUST00168,2020-02-03,2020-09-15,45-54,Female,Gauteng,Google Search,4,1035.98,4143.91,Lapsed,1,1
CUST00169,2022-03-22,2022-04-24,45-54,Female,KwaZulu-Natal,Organic,5,1193.14,5965.72,Lapsed,0,1
CUST00170,2020-12-30,2022-04-11,35-44,Male,Gauteng,Google Search,6,686.65,4119.92,Lapsed,1,1
CUST00171,2021-05-28,2023-01-30,25-34,Female,Western Cape,Google Display,1,491.83,491.83,Lapsed,1,1
CUST00172,2020-08-23,2021-04-14,35-44,Female,Gauteng,Google Search,8,1191.42,9531.38,High Value,1,1
CUST00173,2022-12-05,2023-12-27,35-44,Male,Western Cape,Google Search,5,1212.0,6059.99,Lapsed,1,1
CUST00174,2020-10-25,2021-10-18,55+,Female,Gauteng,Email,11,1120.53,12325.86,High Value,1,1
CUST00175,2021-06-04,2021-09-12,18-24,Male,Gauteng,Google Display,1,1031.62,1031.62,Lapsed,1,1
CUST00176,2022-05-08,2022-11-12,18-24,Female,Gauteng,Google Search,4,1191.26,4765.05,Lapsed,0,1
CUST00177,2021-08-27,2023-01-02,18-24,Male,Gauteng,Meta Instagram,1,796.49,796.49,Lapsed,1,1
CUST00178,2021-10-10,2023-09-05,35-44,Male,Gauteng,Google Search,5,1050.88,5254.38,Lapsed,0,1
CUST00179,2020-06-29,2022-02-04,18-24,Female,Gauteng,Organic,10,1165.13,11651.28,High Value,1,1
CUST00180,2021-02-16,2022-10-27,55+,Male,Gauteng,Organic,9,624.63,5621.67,Lapsed,1,1
CUST00181,2021-02-15,2021-11-06,35-44,Male,Limpopo,Google Display,8,884.55,7076.41,Lapsed,1,1
CUST00182,2022-02-07,2023-07-24,25-34,Other,Gauteng,Organic,3,670.03,2010.08,Lapsed,1,1
CUST00183,2022-08-25,2023-08-03,25-34,Male,Gauteng,Meta Facebook,7,911.7,6381.93,Lapsed,1,0
CUST00184,2020-12-23,2021-10-31,45-54,Female,Western Cape,Meta Facebook,6,1405.96,8435.77,Lapsed,1,1
CUST00185,2020-11-30,2021-09-24,25-34,Female,Western Cape,Google Search,2,760.3,1520.59,Lapsed,0,1
CUST00186,2022-09-08,2023-11-23,18-24,Female,Western Cape,Google Display,3,1127.88,3383.63,Lapsed,1,1
CUST00187,2022-01-18,2023-12-06,55+,Female,Limpopo,Meta Instagram,1,673.5,673.5,Lapsed,0,1
CUST00188,2020-07-14,2020-12-11,45-54,Male,KwaZulu-Natal,Google Search,6,1121.46,6728.78,Lapsed,1,0
CUST00189,2020-06-20,2022-05-21,45-54,Male,Western Cape,Google Search,3,738.97,2216.91,Lapsed,1,1
CUST00190,2022-05-18,2023-05-25,35-44,Male,Gauteng,Google Search,12,449.63,5395.61,Lapsed,0,1
CUST00191,2021-12-13,2022-12-11,35-44,Female,Eastern Cape,Organic,1,397.81,397.81,Lapsed,1,1
CUST00192,2020-10-24,2022-01-07,18-24,Female,Western Cape,Google Search,1,730.22,730.22,Lapsed,1,1
CUST00193,2020-04-25,2022-03-01,35-44,Male,Gauteng,Meta Instagram,1,454.36,454.36,Lapsed,1,1
CUST00194,2022-08-19,2023-03-20,45-54,Male,Gauteng,Meta Instagram,7,747.25,5230.78,Lapsed,1,1
CUST00195,2020-03-02,2021-02-18,unknown,Female,Western Cape,Meta Facebook,1,1011.53,1011.53,Lapsed,1,1
CUST00196,2021-06-24,2022-09-11,25-34,Female,Western Cape,Email,6,1131.04,6786.22,Lapsed,0,0
CUST00197,2021-03-20,2022-02-11,18-24,Male,Eastern Cape,Google Search,3,541.06,1623.19,Lapsed,1,0
CUST00198,2022-08-06,2023-08-05,25-34,Male,Limpopo,Email,1,1169.51,1169.51,Lapsed,1,1
CUST00199,2021-10-25,2023-04-26,55+,Other,Limpopo,Meta Instagram,7,1149.58,8047.07,Lapsed,1,1
CUST00200,2021-06-24,2021-11-30,45-54,Male,KwaZulu-Natal,Google Display,5,1652.73,8263.64,Lapsed,0,1
CUST00201,2022-06-25,2023-04-10,unknown,Female,Western Cape,Email,5,896.54,4482.7,Lapsed,1,0
CUST00202,2021-10-04,2022-05-12,25-34,Female,KwaZulu-Natal,Meta Instagram,4,778.36,3113.44,Lapsed,1,1
CUST00203,2022-10-29,2022-11-19,35-44,Male,Gauteng,Google Display,3,1130.91,3392.74,Lapsed,0,1
CUST00204,2020-07-23,2021-07-26,25-34,Female,KwaZulu-Natal,Google Display,3,381.88,1145.64,Lapsed,0,1
CUST00205,2021-10-17,2022-04-13,25-34,Male,Gauteng,Google Search,4,470.33,1881.32,Lapsed,0,1
CUST00206,2021-10-16,2021-10-31,25-34,Female,Gauteng,Meta Instagram,12,582.94,6995.23,Lapsed,1,0
CUST00207,2020-09-26,2022-06-27,35-44,Male,KwaZulu-Natal,Google Search,1,702.36,702.36,Lapsed,1,1
CUST00208,2020-03-07,2021-04-14,35-44,Female,Gauteng,Email,2,388.69,777.37,Lapsed,1,1
CUST00209,2021-11-18,2023-09-06,unknown,Male,Western Cape,Google Search,13,865.16,11247.14,Lapsed,1,0
CUST00210,2021-11-25,2023-03-22,45-54,Male,Limpopo,Email,6,724.11,4344.64,Lapsed,0,0
CUST00211,2020-11-10,2021-07-17,35-44,Male,Gauteng,Google Search,6,1248.91,7493.46,Lapsed,1,1
CUST00212,2021-09-11,2022-05-13,45-54,Female,Gauteng,Meta Instagram,5,650.21,3251.03,Lapsed,1,1
CUST00213,2022-12-16,2024-03-18,25-34,Female,Gauteng,Meta Facebook,2,954.79,1909.59,Lapsed,1,0
CUST00214,2021-07-28,2022-03-15,35-44,Male,KwaZulu-Natal,Meta Facebook,1,938.97,938.97,Lapsed,1,1
CUST00215,2021-07-07,2022-01-20,45-54,Female,Eastern Cape,Email,3,946.64,2839.92,Lapsed,1,0
CUST00216,2020-11-23,2022-05-12,25-34,Female,KwaZulu-Natal,Google Search,1,1248.77,1248.77,Lapsed,1,1
CUST00217,2022-08-19,2024-02-05,35-44,Male,Western Cape,Google Search,3,663.92,1991.77,Lapsed,1,1
CUST00218,2020-12-03,2022-01-01,35-44,Male,Gauteng,Google Display,8,880.93,7047.47,Lapsed,0,1
CUST00219,2020-11-30,2021-04-25,35-44,Female,Eastern Cape,Google Search,4,1008.95,4035.81,Lapsed,0,1
CUST00220,2020-11-19,2021-02-13,25-34,Male,unknown,Organic,1,1012.87,1012.87,Lapsed,0,1
CUST00221,2021-10-17,2022-02-05,55+,Female,Gauteng,Google Search,11,1130.21,12432.29,High Value,0,1
CUST00222,2020-03-18,2020-05-29,35-44,Male,Gauteng,Google Search,1,464.01,464.01,Lapsed,0,1
CUST00223,2022-09-05,2023-08-17,18-24,Male,Gauteng,Meta Instagram,1,646.43,646.43,Lapsed,1,0
CUST00224,2022-01-24,2023-02-07,25-34,Female,Gauteng,Organic,2,633.56,1267.12,Lapsed,1,1
CUST00225,2020-06-04,2021-08-02,25-34,Female,Gauteng,Email,1,1142.5,1142.5,Lapsed,1,1
CUST00226,2020-03-15,2021-11-21,55+,Male,Gauteng,Google Search,1,758.94,758.94,Lapsed,1,1
CUST00227,2022-10-11,2023-01-14,25-34,Male,Gauteng,Google Display,4,981.69,3926.74,Lapsed,1,1
CUST00228,2022-02-09,2023-01-26,25-34,Female,Limpopo,Email,8,796.94,6375.53,Lapsed,0,0
CUST00229,2021-03-07,2021-10-01,35-44,Female,Limpopo,Meta Facebook,3,567.28,1701.84,Lapsed,1,0
