customer_id,province,acquisition_channel,customer_segment,num_purchases,total_clv_zar,days_since_last_purchase,churn_probability,churn_risk_tier
CUST01346,Limpopo,Google Search,Lapsed,4,1413.4,1088,0.9999950602281268,Critical
CUST00277,KwaZulu-Natal,Google Display,High Value,13,15936.6,1089,0.9999949959400635,Critical
CUST02661,Gauteng,Google Search,High Value,12,15120.29,573,0.9999949939387719,Critical
CUST02710,Gauteng,Meta Facebook,Lapsed,19,11719.55,1657,0.999994720607523,Critical
CUST04715,Gauteng,Google Search,Lapsed,5,8016.95,1290,0.9999945482495776,Critical
CUST07951,Western Cape,Organic,High Value,8,8889.39,283,0.9999945102519816,Critical
CUST04414,KwaZulu-Natal,Meta Facebook,High Value,14,17964.8,944,0.9999944950740978,Critical
CUST05521,Gauteng,Google Search,Lapsed,15,11172.9,1340,0.9999943981584082,Critical
CUST04074,Western Cape,Email,High Value,12,16794.91,415,0.9999943357851379,Critical
CUST06068,Gauteng,Google Search,Lapsed,18,16934.86,1171,0.9999942929100958,Critical
CUST04426,unknown,Email,Lapsed,6,5561.99,1092,0.9999942482637381,Critical
CUST06784,Western Cape,Meta Instagram,High Value,8,8689.96,1340,0.9999942241056096,Critical
CUST05992,Western Cape,Google Search,Lapsed,17,11926.78,894,0.9999941558479845,Critical
CUST03181,Gauteng,Email,High Value,9,11237.92,1029,0.9999941052571284,Critical
CUST04556,KwaZulu-Natal,Organic,Lapsed,17,13463.22,758,0.9999940787422907,Critical
CUST04457,Western Cape,Meta Facebook,Lapsed,15,11777.37,561,0.9999940718263998,Critical
CUST05669,Western Cape,Google Search,High Value,11,13726.89,955,0.9999939886806477,Critical
CUST04595,KwaZulu-Natal,Google Search,Lapsed,3,5067.98,983,0.9999938029166487,Critical
CUST03745,Gauteng,Google Search,High Value,15,16790.13,927,0.9999937776062834,Critical
CUST04604,KwaZulu-Natal,Meta Facebook,Lapsed,6,8828.12,862,0.9999937742752805,Critical
CUST01300,Gauteng,Meta Instagram,Lapsed,6,10438.6,1394,0.9999936712297174,Critical
CUST05913,Gauteng,Email,High Value,8,8094.29,1165,0.999993650480173,Critical
CUST07292,Gauteng,Meta Instagram,Lapsed,14,11062.69,840,0.9999936071135587,Critical
CUST06935,Gauteng,Meta Instagram,Lapsed,22,21618.11,377,0.999993597262742,Critical
CUST00951,Western Cape,Google Search,High Value,8,8876.48,560,0.9999935876737354,Critical
CUST03357,Gauteng,Google Search,High Value,12,12520.73,1049,0.9999934660008258,Critical
CUST07729,Gauteng,Meta Instagram,High Value,9,11567.88,562,0.9999934654065556,Critical
CUST03968,KwaZulu-Natal,Google Search,High Value,9,10938.49,1632,0.9999934511466967,Critical
CUST02702,Gauteng,Google Search,Lapsed,13,10862.3,752,0.9999934228727577,Critical
CUST04296,Gauteng,Google Search,Lapsed,7,9110.27,872,0.9999933870786684,Critical
CUST05256,Eastern Cape,Google Search,Lapsed,10,4721.44,382,0.9999931992634974,Critical
CUST07040,Eastern Cape,Meta Instagram,Lapsed,15,9866.31,264,0.9999931303698174,Critical
CUST02372,Gauteng,Google Search,High Value,11,16739.81,412,0.9999931006422784,Critical
CUST02422,Western Cape,Google Search,Lapsed,21,20278.34,886,0.9999930854719928,Critical
CUST03527,KwaZulu-Natal,Meta Facebook,Lapsed,5,5461.32,1050,0.9999930647961525,Critical
CUST03271,Gauteng,Meta Instagram,High Value,10,12910.51,894,0.9999930599965513,Critical
CUST03585,Western Cape,Google Search,Lapsed,14,8749.81,878,0.9999930433142338,Critical
CUST07383,Gauteng,Email,High Value,17,19415.6,1056,0.9999930384350104,Critical
CUST03785,Western Cape,Email,Lapsed,6,8622.8,1348,0.9999930034549511,Critical
CUST01500,Western Cape,Google Display,High Value,9,11883.11,751,0.9999929557429468,Critical
CUST01546,Western Cape,Google Search,Lapsed,9,2202.14,857,0.9999928152487919,Critical
CUST00544,Western Cape,Meta Facebook,High Value,13,15736.57,1358,0.99999280924936,Critical
CUST02381,Western Cape,Google Search,High Value,10,11743.04,1253,0.9999928063231757,Critical
CUST05947,Western Cape,Meta Instagram,Lapsed,14,12008.72,821,0.9999928009175154,Critical
CUST05769,Western Cape,Email,Lapsed,13,12835.9,723,0.9999927456836379,Critical
CUST02053,Western Cape,Organic,Lapsed,6,6645.59,1293,0.9999927153638047,Critical
CUST03250,Western Cape,Google Search,Lapsed,5,1325.29,1113,0.9999926840190662,Critical
CUST01515,KwaZulu-Natal,Email,Lapsed,7,9656.9,828,0.9999926735866368,Critical
CUST00929,Gauteng,Email,High Value,12,14559.36,1002,0.9999926568411552,Critical
CUST04395,Gauteng,Google Display,High Value,10,11252.24,613,0.9999926554979072,Critical
CUST00296,Western Cape,Meta Facebook,Lapsed,4,6035.96,1010,0.9999925252485028,Critical
CUST00877,Eastern Cape,Meta Instagram,Lapsed,14,8049.55,428,0.9999924747130285,Critical
CUST05105,Eastern Cape,Meta Instagram,High Value,9,10378.64,931,0.9999924595740469,Critical
CUST02329,KwaZulu-Natal,Google Search,Lapsed,7,12352.0,1305,0.9999923397537994,Critical
CUST04060,Eastern Cape,Google Search,High Value,11,11532.6,1299,0.9999923394925748,Critical
CUST01584,Gauteng,Email,Lapsed,4,6489.83,883,0.9999923224308227,Critical
CUST04719,Limpopo,Organic,Lapsed,4,5850.23,1058,0.9999923125175416,Critical
CUST04801,Gauteng,Organic,Lapsed,5,5463.98,1037,0.9999922956796787,Critical
CUST01881,Eastern Cape,Google Display,High Value,13,13090.53,686,0.9999922539047514,Critical
CUST00492,Western Cape,Email,Lapsed,7,9579.08,1142,0.9999921709191906,Critical
CUST06279,Limpopo,Meta Instagram,Lapsed,3,4904.58,1097,0.999992145962918,Critical
CUST05498,Eastern Cape,Google Search,High Value,8,8118.11,768,0.9999921266511925,Critical
CUST03604,unknown,Google Search,Lapsed,18,13808.07,587,0.9999920532134681,Critical
CUST01180,Gauteng,Meta Facebook,Lapsed,14,12253.96,1037,0.9999919984156371,Critical
CUST07429,Eastern Cape,Google Search,Lapsed,15,12813.75,459,0.9999919703066383,Critical
CUST05884,Gauteng,Meta Instagram,High Value,10,12717.94,1343,0.9999919682034027,Critical
CUST02623,unknown,Meta Instagram,Lapsed,4,4438.1,861,0.9999919635142893,Critical
CUST01475,Gauteng,Meta Instagram,Lapsed,18,13613.69,1123,0.999991957134184,Critical
CUST01883,Gauteng,Meta Facebook,Lapsed,15,11966.98,966,0.9999919163380875,Critical
CUST03141,KwaZulu-Natal,Email,High Value,14,17319.0,877,0.9999919011834955,Critical
CUST00246,Gauteng,Google Display,Lapsed,4,4415.84,1164,0.9999918304750097,Critical
CUST03318,KwaZulu-Natal,Google Display,Lapsed,14,12498.79,1064,0.9999917803709442,Critical
CUST02355,KwaZulu-Natal,Organic,High Value,12,14339.26,656,0.9999917348795276,Critical
CUST02455,Gauteng,Meta Facebook,Lapsed,7,9107.13,305,0.9999917148984757,Critical
CUST07244,Western Cape,Meta Facebook,Lapsed,5,5456.21,1036,0.9999916873935358,Critical
CUST04223,Gauteng,Meta Instagram,Lapsed,5,1395.59,377,0.9999916092579654,Critical
CUST01874,KwaZulu-Natal,Meta Facebook,High Value,12,12360.77,1493,0.9999915210326912,Critical
CUST04139,Gauteng,Organic,High Value,9,9772.02,602,0.9999914805733761,Critical
CUST03672,Western Cape,Google Search,Lapsed,7,10224.35,1070,0.9999914554348275,Critical
CUST04766,KwaZulu-Natal,Google Search,Lapsed,6,8796.85,1232,0.9999914253739152,Critical
CUST01126,KwaZulu-Natal,Meta Instagram,High Value,12,14291.17,922,0.9999914023623018,Critical
CUST07395,Western Cape,Meta Instagram,Lapsed,4,2112.87,1367,0.9999913507202726,Critical
CUST03911,Western Cape,Email,Lapsed,2,2189.12,972,0.9999913505410235,Critical
CUST04865,Gauteng,Meta Facebook,High Value,13,14898.62,1021,0.9999913436518056,Critical
CUST07298,Gauteng,Organic,High Value,12,12027.45,918,0.9999912308243011,Critical
CUST02818,Eastern Cape,Meta Instagram,Lapsed,3,5206.63,1246,0.9999911541663392,Critical
CUST00345,Gauteng,Meta Instagram,Lapsed,12,10966.31,878,0.9999911102699887,Critical
CUST00536,Eastern Cape,Google Search,High Value,8,9314.93,942,0.9999911002667583,Critical
CUST02034,Western Cape,Meta Instagram,High Value,14,16110.53,1164,0.9999910960235434,Critical
CUST07909,Eastern Cape,Meta Facebook,High Value,10,11533.77,558,0.9999910933036132,Critical
CUST01549,Gauteng,Meta Instagram,Lapsed,10,2267.17,895,0.9999910597943339,Critical
CUST04340,Western Cape,Meta Facebook,High Value,12,12764.35,281,0.9999910150132321,Critical
CUST07308,KwaZulu-Natal,Google Search,Lapsed,13,12393.01,487,0.999990968712987,Critical
CUST02448,Western Cape,Meta Facebook,High Value,14,16171.01,740,0.9999909435804293,Critical
CUST05749,KwaZulu-Natal,Meta Instagram,Lapsed,6,8444.35,1273,0.9999909217581338,Critical
CUST04925,Western Cape,Google Search,High Value,9,11006.83,923,0.9999909143254606,Critical
CUST05773,Gauteng,Email,High Value,8,8629.64,607,0.9999909015436625,Critical
CUST07669,Gauteng,Google Search,Lapsed,15,14135.03,1074,0.9999908942066763,Critical
CUST06026,Gauteng,Meta Facebook,High Value,15,18106.01,1268,0.9999908555431455,Critical
CUST02048,Western Cape,Google Search,Lapsed,15,6086.92,1248,0.9999908252909026,Critical
CUST03013,KwaZulu-Natal,Organic,Lapsed,6,1267.85,1023,0.9999907846702355,Critical
CUST02910,Gauteng,Meta Instagram,Lapsed,6,6706.01,416,0.9999907697288823,Critical
CUST01007,Gauteng,Google Search,High Value,8,10168.85,436,0.9999907592260474,Critical
CUST04404,Gauteng,Google Search,Lapsed,13,12570.99,855,0.9999907570074424,Critical
CUST06521,Gauteng,Meta Facebook,Lapsed,12,11042.48,1068,0.9999907316268681,Critical
CUST03455,Western Cape,Meta Instagram,High Value,16,16686.26,1041,0.9999906821697677,Critical
CUST04549,Western Cape,Google Search,High Value,16,16454.61,994,0.9999906780984611,Critical
CUST00007,unknown,Email,Lapsed,7,3893.64,836,0.999990672908918,Critical
CUST07566,KwaZulu-Natal,Meta Facebook,Lapsed,7,7618.07,823,0.9999906604646001,Critical
CUST02662,Limpopo,Meta Instagram,Lapsed,13,9095.43,640,0.9999906564752598,Critical
CUST05404,Gauteng,Google Search,High Value,8,9147.98,1248,0.9999905290321384,Critical
CUST07667,KwaZulu-Natal,Google Search,High Value,10,11153.54,1338,0.9999905214961021,Critical
CUST03445,Limpopo,Google Search,Lapsed,1,1376.99,1152,0.9999904947083579,Critical
CUST04731,KwaZulu-Natal,Email,Lapsed,10,9184.32,577,0.9999904702206972,Critical
CUST02266,Gauteng,Google Search,High Value,13,14352.2,577,0.9999904415178927,Critical
CUST02371,Gauteng,Meta Instagram,High Value,8,10248.57,1134,0.9999904286977621,Critical
CUST04794,Gauteng,Email,Lapsed,17,13753.91,1502,0.9999903988529415,Critical
CUST00138,KwaZulu-Natal,Google Display,High Value,11,11429.18,759,0.9999903638596322,Critical
CUST02871,Gauteng,Google Search,High Value,13,17028.54,725,0.9999903467825317,Critical
CUST03247,unknown,Organic,Lapsed,8,2505.53,431,0.9999903367137455,Critical
CUST03158,Gauteng,Google Search,Lapsed,6,8633.62,1027,0.9999903357409043,Critical
CUST00625,Gauteng,Google Display,High Value,12,13058.09,768,0.9999902835012621,Critical
CUST03709,Gauteng,Google Display,High Value,14,17815.18,411,0.9999902746010356,Critical
CUST02480,Gauteng,Google Search,Lapsed,3,1402.28,968,0.999990249315832,Critical
CUST03291,Gauteng,Email,Lapsed,1,1262.35,760,0.9999902473136627,Critical
CUST02122,Gauteng,Google Search,High Value,16,18811.06,757,0.9999902090354545,Critical
CUST04785,Gauteng,Meta Facebook,Lapsed,10,8472.41,591,0.9999902012654242,Critical
CUST02104,Western Cape,Meta Facebook,Lapsed,13,11076.26,733,0.999990143550807,Critical
CUST00940,Western Cape,Email,High Value,8,13559.5,1089,0.9999901324573403,Critical
CUST00053,KwaZulu-Natal,Meta Instagram,Lapsed,7,10322.23,498,0.9999901298442269,Critical
CUST02844,KwaZulu-Natal,Google Search,High Value,9,9071.81,338,0.9999901163210887,Critical
CUST04297,Limpopo,Meta Facebook,Lapsed,11,9055.14,892,0.999990112707148,Critical
CUST01104,unknown,Google Search,Lapsed,8,2904.5,1563,0.9999901040455023,Critical
CUST02318,Western Cape,Meta Facebook,Lapsed,7,10086.92,658,0.9999900428957622,Critical
CUST02490,Western Cape,Meta Instagram,Lapsed,3,4616.06,985,0.9999899648166746,Critical
CUST03866,KwaZulu-Natal,Google Display,High Value,11,11440.47,881,0.9999899596060375,Critical
CUST07640,Eastern Cape,Meta Instagram,Lapsed,4,4428.36,852,0.9999899341599902,Critical
CUST06016,Gauteng,Email,High Value,8,9154.26,795,0.9999898798901163,Critical
CUST07720,Gauteng,Meta Facebook,High Value,9,9889.71,1386,0.999989869578425,Critical
CUST00107,Gauteng,Meta Facebook,Lapsed,3,5129.27,895,0.9999898646510689,Critical
CUST07237,Western Cape,Meta Instagram,Lapsed,13,11893.71,850,0.9999898469875143,Critical
CUST05661,KwaZulu-Natal,Organic,Lapsed,15,14140.12,622,0.9999898419755137,Critical
CUST00454,Gauteng,Google Search,Lapsed,3,4870.89,629,0.9999897820034391,Critical
CUST07132,KwaZulu-Natal,Google Display,Lapsed,14,2100.0,1064,0.9999896797668433,Critical
CUST04401,Eastern Cape,Google Search,Lapsed,13,9019.85,1135,0.9999896796905032,Critical
CUST00964,KwaZulu-Natal,Meta Facebook,High Value,9,11297.83,1361,0.9999896239804621,Critical
CUST07324,Western Cape,Google Search,High Value,11,11037.83,966,0.9999895748671669,Critical
CUST07835,Western Cape,Meta Instagram,Lapsed,11,9281.99,502,0.9999895341528097,Critical
CUST04682,Western Cape,Organic,Lapsed,9,7494.63,813,0.9999894915113188,Critical
CUST07624,Eastern Cape,Organic,Lapsed,10,9465.19,1189,0.9999894108142471,Critical
CUST02920,Gauteng,Meta Facebook,High Value,16,16826.26,1274,0.9999893895853701,Critical
CUST07861,unknown,Google Search,Lapsed,5,2998.68,965,0.9999893728929752,Critical
CUST01938,Western Cape,Meta Facebook,High Value,13,15145.38,299,0.9999893615214236,Critical
CUST07307,Gauteng,Meta Facebook,High Value,12,12839.67,581,0.9999893029024625,Critical
CUST00242,Gauteng,Meta Instagram,Lapsed,14,11270.59,866,0.9999892996507821,Critical
CUST07827,KwaZulu-Natal,Email,High Value,11,13155.52,941,0.9999892610233223,Critical
CUST03120,Limpopo,Google Search,Lapsed,6,9303.86,1159,0.9999892408607289,Critical
CUST06424,Gauteng,Email,High Value,16,18914.29,662,0.999989201527989,Critical
CUST05437,Western Cape,Meta Facebook,Lapsed,10,9268.29,1107,0.9999891973112713,Critical
CUST07960,Gauteng,Meta Facebook,Lapsed,3,4792.3,468,0.9999891508727875,Critical
CUST04564,KwaZulu-Natal,Email,Lapsed,2,2189.4,1073,0.9999891203407719,Critical
CUST04499,KwaZulu-Natal,Google Search,Lapsed,15,6689.71,1579,0.9999890996747257,Critical
CUST05582,Western Cape,Google Display,Lapsed,3,3275.86,644,0.9999890899505687,Critical
CUST03589,Western Cape,Google Search,Lapsed,3,3257.41,518,0.9999890899505687,Critical
CUST05885,Western Cape,Google Search,Lapsed,2,1323.95,1187,0.9999890589938865,Critical
CUST07968,Limpopo,Meta Instagram,Lapsed,4,4389.93,823,0.9999890380182326,Critical
CUST06281,Western Cape,Google Search,Lapsed,3,4454.87,667,0.9999890222632744,Critical
CUST01965,KwaZulu-Natal,Meta Facebook,Lapsed,4,1619.61,1024,0.9999889798600801,Critical
CUST04367,Western Cape,Meta Instagram,Lapsed,3,3323.53,1001,0.9999889452508365,Critical
CUST02101,KwaZulu-Natal,Email,High Value,18,18247.0,337,0.9999887913648876,Critical
CUST01425,KwaZulu-Natal,Organic,Lapsed,14,10934.29,735,0.9999887664088484,Critical
CUST06143,Western Cape,Meta Facebook,Lapsed,6,2135.4,645,0.9999887660336187,Critical
CUST02169,Eastern Cape,Meta Facebook,Lapsed,17,12494.02,670,0.9999887526579054,Critical
CUST04562,KwaZulu-Natal,Google Search,High Value,8,8900.42,1189,0.9999887132191544,Critical
CUST05938,KwaZulu-Natal,Google Display,Lapsed,12,11627.57,915,0.9999887055894573,Critical
CUST04520,Eastern Cape,Meta Facebook,Lapsed,9,4868.14,1292,0.9999886653713497,Critical
CUST02398,Western Cape,Email,Lapsed,4,3893.65,1060,0.9999886529011466,Critical
CUST01654,Western Cape,Google Search,Lapsed,5,2096.38,892,0.9999886072351054,Critical
CUST06025,Western Cape,Meta Instagram,Lapsed,4,2861.82,1075,0.9999886027155139,Critical
CUST01677,Gauteng,Organic,Lapsed,17,13926.43,928,0.9999885942340107,Critical
CUST07944,unknown,Email,Lapsed,5,4637.31,915,0.9999885660996447,Critical
CUST02703,Limpopo,Google Search,Lapsed,10,5493.38,327,0.9999885586085514,Critical
CUST06145,Gauteng,Meta Instagram,Lapsed,12,9999.57,860,0.9999885578400777,Critical
CUST01235,Western Cape,Organic,High Value,8,8167.58,742,0.9999885491942957,Critical
